region,year,quarter,gdp
Estonia,2019,4,8731.94108556066
Estonia,2020,1,7655.761378014629
Estonia,2020,2,7549.41997258947
India,2011,1,291.545115606
India,2011,2,274.6419043
India,2011,3,272.756303166
India,2011,4,301.70290133
India,2012,1,325.042423278
India,2012,2,310.88899096
India,2012,3,316.76889471
India,2012,4,342.496665564
India,2013,1,366.298515944
India,2013,2,344.780084186
India,2013,3,361.01937036
India,2013,4,392.58538164600003
India,2014,1,411.374194086
India,2014,2,391.68760434200004
India,2014,3,410.448193244
India,2014,4,428.046241176
India,2015,1,445.484355726
India,2015,2,435.92464021200004
India,2015,3,451.022889064
India,2015,4,467.25142341400004
India,2016,1,496.70873321799996
India,2016,2,489.177080506
India,2016,3,504.54546893599996
India,2016,4,520.792818978
India,2017,1,554.091217906
India,2017,2,538.59246361
India,2017,3,560.723749336
India,2017,4,581.41832258
India,2018,1,617.238024236
India,2018,2,611.6739553159999
India,2018,3,624.658126774
India,2018,4,647.449305698
India,2019,1,665.9101875059999
India,2019,2,660.9992918940001
India,2019,3,661.3299104820001
India,2019,4,695.270730894
India,2020,1,716.029815082
India,2020,2,511.81235798200004
Indonesia,2011,1,126.34230812556002
Indonesia,2011,2,132.8082048148
Indonesia,2011,3,141.45294667224002
Indonesia,2011,4,138.811367673
Indonesia,2012,1,141.97591221548
Indonesia,2012,2,148.91158870964
Indonesia,2012,3,153.15464938496004
Indonesia,2012,4,149.36966655012003
Indonesia,2013,1,153.95683661060002
Indonesia,2013,2,161.3472573662
Indonesia,2013,3,171.5800363826
Indonesia,2013,4,170.61157657100003
Indonesia,2014,1,172.62293005512004
Indonesia,2014,2,180.38156665588002
Indonesia,2014,3,189.18490835744
Indonesia,2014,4,185.80538929224002
Indonesia,2015,1,187.90508262092004
Indonesia,2015,2,197.53166681904003
Indonesia,2015,3,205.98246876200002
Indonesia,2015,4,202.46386919772004
Indonesia,2016,1,201.75515993640002
Indonesia,2016,2,211.69168433452003
Indonesia,2016,3,220.74760663640004
Indonesia,2016,4,219.98204056728002
Indonesia,2017,1,222.34229717832005
Indonesia,2017,2,231.88949535988002
Indonesia,2017,3,241.34964167060002
Indonesia,2017,4,240.42596477412005
Indonesia,2018,1,241.85038105772006
Indonesia,2018,2,253.84865521648
Indonesia,2018,3,264.63106840844
Indonesia,2018,4,261.66750286676006
Indonesia,2019,1,260.61557960308
Indonesia,2019,2,273.01335290452005
Indonesia,2019,3,280.14310017680003
Indonesia,2019,4,276.80031935664005
Indonesia,2020,1,270.17687661996
Indonesia,2020,2,253.99155831136005
Israel,2011,1,66352.67904353188
Israel,2011,2,67617.33504133312
Israel,2011,3,69743.2532046294
Israel,2011,4,71143.7275825352
Israel,2012,1,70364.66275953896
Israel,2012,2,72400.3786833942
Israel,2012,3,74344.47973893624
Israel,2012,4,74727.7730395823
Israel,2013,1,73999.32741783846
Israel,2013,2,78198.0430128842
Israel,2013,3,78659.88436477601
Israel,2013,4,80169.04287653361
Israel,2014,1,79299.06949966024
Israel,2014,2,80686.3299116577
Israel,2014,3,81485.3481174732
Israel,2014,4,85001.64624819296
Israel,2015,1,84324.2318444559
Israel,2015,2,85475.08292874377
Israel,2015,3,85270.28117204872
Israel,2015,4,88236.4486463667
Israel,2016,1,87586.52164610042
Israel,2016,2,88607.08714669966
Israel,2016,3,91353.00223603335
Israel,2016,4,92576.10340117855
Israel,2017,1,90959.84996305032
Israel,2017,2,92844.5617464253
Israel,2017,3,93568.21031595742
Israel,2017,4,96222.92255373226
Israel,2018,1,95014.38912383122
Israel,2018,2,96634.85101880776
Israel,2018,3,98368.29379378892
Israel,2018,4,101440.32014421438
Israel,2019,1,101335.28530161566
Israel,2019,2,101262.77035284477
Israel,2019,3,104414.2865070974
Israel,2019,4,106990.53898293102
Israel,2020,1,103360.22993032067
Israel,2020,2,95876.2104549215
Russian Federation,2011,1,166240.5279613476
Russian Federation,2011,2,184237.19153452103
Russian Federation,2011,3,200966.94238736926
Russian Federation,2011,4,215813.4621946699
Russian Federation,2012,1,193783.61752555871
