region,year,household_savings,gdp,household_debt
Canada,2016,1.6816479529786297,46480.501319999996,181.5645
Canada,2017,1.9659663824253002,48633.836154000004,181.4351
Canada,2018,1.49429741999779,50077.786708,181.7593
Canada,2019,2.51503313541757,51341.714241,181.2119
China,2000,28.2456073083828,2909.488332,
China,2001,28.0082877446113,3198.965455,
China,2002,27.2146189824983,3523.468013,
China,2003,30.2187064079566,3925.4171439999996,
China,2004,30.5700125622451,4412.707372,
China,2005,31.508428734224896,5038.914363,
China,2006,34.3451520456516,5820.916274,
China,2007,35.796430102439295,6792.740245,
China,2008,37.316817918198,7554.933679000001,
China,2009,37.8367418867531,8287.653048,
China,2010,38.9861284227165,9231.640601000001,
China,2011,38.1006940152768,10275.255685,
China,2012,38.110595958903104,11170.022279,
China,2013,38.461278513919794,11894.693960999999,
China,2014,37.986747916121004,12515.60877,
China,2015,37.065376900555,12946.311085,
China,2016,36.1434354731471,13533.786406000001,
Latvia,2000,-9.78835130528025,8032.560756999999,12.23725
Latvia,2001,-9.99056470818673,9034.459976,13.68765
Latvia,2002,-9.37375178952151,10067.769762,18.46404
Latvia,2003,-7.3201967789118205,11027.138894,24.105
Latvia,2004,-7.927743357495741,12239.433991,34.78461
Latvia,2005,-6.891618703932769,13878.025394999999,53.958969999999994
Latvia,2006,-12.046147996894,15799.473782,71.57597
Latvia,2007,-11.324062677583498,18182.904131,81.40046
Latvia,2008,2.8243868709765696,19516.073283,73.38006999999999
Latvia,2009,5.970237291039879,16977.250514,81.58310999999999
Latvia,2010,-2.35742554947956,17657.120672999998,83.09759
Latvia,2011,-16.1973239552403,19887.829808000002,78.59336
Latvia,2012,-15.6529957470524,21414.630166,67.33416
Latvia,2013,-16.518615010601803,22811.030736,59.96991
Latvia,2014,-13.6822852840429,23798.136115999998,54.56536
Latvia,2015,-8.858344840019198,24970.783932,49.42825
Latvia,2016,-5.01169826385738,26710.178634,45.983340000000005
Latvia,2017,-5.10342851597946,28679.774835000004,44.30675
Latvia,2018,-2.5873858211899905,30750.583394999998,41.87944
Costa Rica,2012,0.928948497921985,14205.10763,
Costa Rica,2013,1.60581298931198,14749.918912000001,
Costa Rica,2014,0.7399211185183071,15703.942377000001,
Costa Rica,2015,1.7223990365086999,16648.68596,
Costa Rica,2016,4.61257731128365,18050.485400999998,
Lithuania,2004,3.70680304430712,13018.638152,14.902429999999999
Lithuania,2005,-0.189790576698248,14510.685528999998,27.92742
Lithuania,2006,1.09207791410263,16464.064903,39.54473
Lithuania,2007,-8.78277877534951,19074.832125,54.903819999999996
Lithuania,2008,-4.73920023608058,20721.100085,55.81561
Lithuania,2009,1.14417147701821,18134.195701,55.17188
Lithuania,2010,4.7957902874875895,20110.235155000002,53.38401999999999
Lithuania,2011,0.9876290570285401,22884.929333,48.5101
Lithuania,2012,-0.6867428404336551,24703.728832,47.718720000000005
Lithuania,2013,-1.3377078413734,26721.579806,45.31392
Lithuania,2014,-3.5498878676660497,28184.349133,46.60007
Lithuania,2015,-3.4290711876309703,28842.242745999996,49.06156
Lithuania,2016,-0.8223726085493029,30922.107210000002,46.43592
Lithuania,2017,-3.56776386097856,33826.751532999995,48.53835
Lithuania,2018,-5.06777301118466,36011.317619,46.16422
Czech Republic,2000,,16213.990192,21.662879999999998
Czech Republic,2001,,17615.512624000003,22.12086
Czech Republic,2002,,18245.669005,26.897370000000002
Czech Republic,2003,,19502.090571,29.096729999999997
Czech Republic,2004,,20892.976457,33.93189
Czech Republic,2005,,22045.998880000003,39.08971
Czech Republic,2006,,23830.282546000002,43.461529999999996
Czech Republic,2007,,26194.379725,53.1948
Czech Republic,2008,,27853.549898,59.538430000000005
Czech Republic,2009,,27662.268933999996,61.837180000000004
Czech Republic,2010,,27786.968593999998,63.59326
Czech Republic,2011,,28999.754757,66.5231
Czech Republic,2012,,29258.904852999996,67.46433
Czech Republic,2013,,30828.526409,70.85363000000001
Czech Republic,2014,,32504.217576,69.60333
Czech Republic,2015,,33918.407402,70.63539
Czech Republic,2016,,36097.639052,72.70351
Czech Republic,2017,,38991.629902999994,76.57607
Czech Republic,2018,,41049.345804000004,75.81116
Czech Republic,2019,,43301.123753,76.26929
"Korea, Rep.",2008,,29945.899216,138.4568
"Korea, Rep.",2009,,29644.334955000002,143.0346
"Korea, Rep.",2010,,31740.531287,147.5311
"Korea, Rep.",2011,,32546.517725,152.9024
"Korea, Rep.",2012,,33557.030447000005,153.9483
"Korea, Rep.",2013,,34244.239492,154.88
"Korea, Rep.",2014,,35324.260296,158.0058
